category_clean,Total_Apps_Saturation,Avg_Installs_Demand
Family,1718,5844663
Game,1074,29370449
Tools,734,15600442
Productivity,334,37314581
Finance,317,2430008
Personalization,310,6691461
Communication,307,78671797
Lifestyle,305,1753250
Photography,304,31977773
Medical,302,139612
Sports,286,5344516
Business,270,3198215
Health_And_Fitness,262,5194680
Social,244,51286236
News_And_Magazines,214,25201452
Travel_And_Local,205,31033460
Shopping,202,12739265
Books_And_Reference,177,10826507
Video_Players,160,38886858
Dating,159,1298883
Education,129,4138388
Maps_And_Navigation,124,5840867
Entertainment,111,22123063
Food_And_Drink,106,2431866
Weather,75,5681287
Auto_And_Vehicles,73,727805
House_And_Home,68,1839441
Libraries_And_Demo,65,955123
Art_And_Design,62,2003760
Comics,58,966140
Parenting,50,622322
Events,45,354431
Beauty,42,640862
